不一定	不一定	bù yī dìng	ㄅㄨˋ ㄧ ㄉㄧㄥˋ		不一定bù yī dìngㄅㄨˋ ㄧ ㄉㄧㄥˋnot necessarily maybe
公共汽车	公共汽車	gōng gòng qì chē	ㄍㄨㄥ ㄍㄨㄥˋ ㄑㄧˋ ㄔㄜ		公共汽车〔公共汽車〕gōng gòng qì chēㄍㄨㄥ ㄍㄨㄥˋ ㄑㄧˋ ㄔㄜbus CL:輛|辆[liang4],班[ban1]
可以	可以	kě yǐ	ㄎㄜˇ ㄧˇ		可以kě yǐㄎㄜˇ ㄧˇcan may possible able to not bad pretty good
外卖	外賣	wài mài	ㄨㄞˋ ㄇㄞˋ		外卖〔外賣〕wài màiㄨㄞˋ ㄇㄞˋto go take out (relates to food bought at a restaurant)
如果	如果	rú guǒ	ㄖㄨˊ ㄍㄨㄛˇ		如果rú guǒㄖㄨˊ ㄍㄨㄛˇif in case in the event that
只	隻	zhǐ, zhī	ㄓˇ, ㄓ		只〔隻〕zhǐㄓˇonly merely just but variant of 只[zhi3] grain that has begun to ripen variant of 衹|只[zhi3] variant of 只[zhi3]只〔隻〕zhīㄓclassifier for birds and certain animals, one of a pair, some utensils, vessels etc
但	但	dàn	ㄉㄢˋ		但dànㄉㄢˋbut yet however only merely still
这样	這樣	zhè yàng	ㄓㄜˋ ㄧㄤˋ		这样〔這樣〕zhè yàngㄓㄜˋ ㄧㄤˋthis kind of so this way like this such
因为	因為	yīn wèi	ㄧㄣ ㄨㄟˋ		因为〔因為〕yīn wèiㄧㄣ ㄨㄟˋbecause owing to on account of
自己	自己	zì jǐ	ㄗˋ ㄐㄧˇ		"自己zì jǐㄗˋ ㄐㄧˇoneself one's own"
但是	但是	dàn shì	ㄉㄢˋ ㄕˋ		但是dàn shìㄉㄢˋ ㄕˋbut however
多	多	duō	ㄉㄨㄛ		"多duōㄉㄨㄛmany much often a lot of numerous more in excess how (to what extent) multi- Taiwan pr. [duo2] when it means 'how'"
下	下	xià	ㄒㄧㄚˋ		下xiàㄒㄧㄚˋdown downwards below lower later next (week etc) second (of two parts) to decline to go down to arrive at (a decision, conclusion etc) measure word to show the frequency of an action
已经	已經	yǐ jīng	ㄧˇ ㄐㄧㄥ		已经〔已經〕yǐ jīngㄧˇ ㄐㄧㄥalready
为什么	為什麼	wèi shén me	ㄨㄟˋ ㄕㄣˊ ㄇㄜ˙		为什么〔為什麼〕wèi shén meㄨㄟˋ ㄕㄣˊ ㄇㄜ˙why? for what reason?
像	像	xiàng	ㄒㄧㄤˋ		像xiàngㄒㄧㄤˋto resemble to be like to look as if such as appearance image portrait image under a mapping (math.)
这么	這麼	zhè me	ㄓㄜˋ ㄇㄜ˙		这么〔這麼〕zhè meㄓㄜˋ ㄇㄜ˙so much this much how much? this way like this
它	它	tā	ㄊㄚ		它tāㄊㄚit
为	爲	wéi, wèi	ㄨㄟˊ, ㄨㄟˋ		为〔爲〕wéiㄨㄟˊas (in the capacity of) to take sth as to act as to serve as to behave as to become to be to do by (in the passive voice) variant of 為|为[wei2] as (i.e. in the capacity of) to take sth as to act as to serve as to behave as to become to be to do为〔爲〕wèiㄨㄟˋbecause of for to variant of 為|为[wei4], because of for to
可能	可能	kě néng	ㄎㄜˇ ㄋㄥˊ		可能kě néngㄎㄜˇ ㄋㄥˊmight (happen) possible probable possibility probability maybe perhaps CL:個|个[ge4]
那么	那麼	nà me	ㄋㄚˋ ㄇㄜ˙		那么〔那麼〕nà meㄋㄚˋ ㄇㄜ˙like that in that way or so so so very much about in that case
应该	應該	yīng gāi	ㄧㄥ ㄍㄞ		应该〔應該〕yīng gāiㄧㄥ ㄍㄞought to should must
所以	所以	suǒ yǐ	ㄙㄨㄛˇ ㄧˇ		所以suǒ yǐㄙㄨㄛˇ ㄧˇtherefore as a result so the reason why
才	纔	cái	ㄘㄞˊ		才〔纔〕cáiㄘㄞˊability talent sb of a certain type a capable individual only only then just now a moment ago just now (indicating sth happening later than expected) (preceded by a clause of condition or reason) not until (followed by a numerical clause) only
两	兩	liǎng	ㄌㄧㄤˇ		两〔兩〕liǎngㄌㄧㄤˇtwo both some a few tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)
又	又	yòu	ㄧㄡˋ		又yòuㄧㄡˋ(once) again also both... and... and yet (used for emphasis) anyway
小	小	xiǎo	ㄒㄧㄠˇ		小xiǎoㄒㄧㄠˇsmall tiny few young
该	該	gāi	ㄍㄞ		"该〔該〕gāiㄍㄞshould ought to probably must be to deserve to owe to be sb's turn to do sth that the above-mentioned"
等	等	děng	ㄉㄥˇ		等děngㄉㄥˇclass rank grade equal to same as to wait for to await et cetera and so on et al. (and other authors) after as soon as once
问题	問題	wèn tí	ㄨㄣˋ ㄊㄧˊ		问题〔問題〕wèn tíㄨㄣˋ ㄊㄧˊquestion problem issue topic CL:個|个[ge4]
更	更	gēng, gèng	ㄍㄥ, ㄍㄥˋ		更gēngㄍㄥto change or replace to experience one of the five two hour periods into which the night was formerly divided watch (e.g. of a sentry or guard)更gèngㄍㄥˋmore even more further still still more
带	帶	dài	ㄉㄞˋ		带〔帶〕dàiㄉㄞˋband belt girdle ribbon tire area zone region CL:條|条[tiao2] to wear to carry to take along to bear (i.e. to have) to lead to bring to look after to raise
回	逥	huí	ㄏㄨㄟˊ		回〔逥〕huíㄏㄨㄟˊto circle to go back to turn around to answer to return to revolve Hui ethnic group (Chinese Muslims) time classifier for acts of a play section or chapter (of a classic book) to curve to return to revolve variant of 迴|回[hui2]
然后	然後	rán hòu	ㄖㄢˊ ㄏㄡˋ		然后〔然後〕rán hòuㄖㄢˊ ㄏㄡˋafter then (afterwards) after that afterwards
当	當	dāng, dàng	ㄉㄤ, ㄉㄤˋ		当〔當〕dāngㄉㄤ(onom.) dong ding dong (bell) to be to act as manage withstand when during ought should match equally equal same obstruct just at (a time or place) on the spot right just at当〔當〕dàngㄉㄤˋat or in the very same... suitable adequate fitting proper to replace to regard as to think to pawn (coll.) to fail (a student)
事情	事情	shì qing	ㄕˋ ㄑㄧㄥ˙		事情shì qingㄕˋ ㄑㄧㄥ˙affair matter thing business CL:件[jian4],樁|桩[zhuang1]
所有	所有	suǒ yǒu	ㄙㄨㄛˇ ㄧㄡˇ		所有suǒ yǒuㄙㄨㄛˇ ㄧㄡˇall to have to possess to own
家	家	jiā, Jiā	ㄐㄧㄚ		家jiāㄐㄧㄚsee 傢伙|家伙[jia1 huo5] home family (polite) my (sister, uncle etc) classifier for families or businesses refers to the philosophical schools of pre-Han China noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian CL:個|个[ge4]家Jiāㄐㄧㄚsurname Jia
也许	也許	yě xǔ	ㄧㄝˇ ㄒㄩˇ		也许〔也許〕yě xǔㄧㄝˇ ㄒㄩˇperhaps maybe
相信	相信	xiāng xìn	ㄒㄧㄤ ㄒㄧㄣˋ		相信xiāng xìnㄒㄧㄤ ㄒㄧㄣˋto be convinced (that sth is true) to believe to accept sth as true
认为	認為	rèn wéi	ㄖㄣˋ ㄨㄟˊ		认为〔認為〕rèn wéiㄖㄣˋ ㄨㄟˊto believe to think to consider to feel
一直	一直	yī zhí	ㄧ ㄓˊ		一直yī zhíㄧ ㄓˊstraight (in a straight line) continuously always from the beginning of ... up to ... all along
一路平安	一路平安	yī lù píng ān	ㄧ ㄌㄨˋ ㄆㄧㄥˊ ㄢ		一路平安yī lù píng ānㄧ ㄌㄨˋ ㄆㄧㄥˊ ㄢto have a pleasant journey Bon voyage!
不过	不過	bù guò	ㄅㄨˋ ㄍㄨㄛˋ		不过〔不過〕bù guòㄅㄨˋ ㄍㄨㄛˋonly merely no more than but however anyway (to get back to a previous topic) cannot be more (after adjectival)
感觉	感覺	gǎn jué	ㄍㄢˇ ㄐㄩㄝˊ		感觉〔感覺〕gǎn juéㄍㄢˇ ㄐㄩㄝˊto feel to become aware of feeling sense perception CL:個|个[ge4]
怎么样	怎麼樣	zěn me yàng	ㄗㄣˇ ㄇㄜ˙ ㄧㄤˋ		怎么样〔怎麼樣〕zěn me yàngㄗㄣˇ ㄇㄜ˙ ㄧㄤˋhow? how about? how was it? how are things?
不要	不要	bù yào	ㄅㄨˋ ㄧㄠˋ		"不要bù yàoㄅㄨˋ ㄧㄠˋdon't! must not"
离开	離開	lí kāi	ㄌㄧˊ ㄎㄞ		离开〔離開〕lí kāiㄌㄧˊ ㄎㄞto depart to leave
一定	一定	yī dìng	ㄧ ㄉㄧㄥˋ		一定yī dìngㄧ ㄉㄧㄥˋsurely certainly necessarily fixed a certain (extent etc) given particular must
发现	發現	fā xiàn	ㄈㄚ ㄒㄧㄢˋ		发现〔發現〕fā xiànㄈㄚ ㄒㄧㄢˋto find to discover
件	件	jiàn	ㄐㄧㄢˋ		件jiànㄐㄧㄢˋitem component classifier for events, things, clothes etc
而且	而且	ér qiě	ㄦˊ ㄑㄧㄝˇ		而且ér qiěㄦˊ ㄑㄧㄝˇ(not only ...) but also moreover in addition furthermore
必须	必須	bì xū	ㄅㄧˋ ㄒㄩ		必须〔必須〕bì xūㄅㄧˋ ㄒㄩto have to must compulsory necessarily
意思	意思	yì si	ㄧˋ ㄙ˙		意思yì siㄧˋ ㄙ˙idea opinion meaning wish desire interest fun token of appreciation, affection etc CL:個|个[ge4] to give as a small token to do sth as a gesture of goodwill etc
不错	不錯	bù cuò	ㄅㄨˋ ㄘㄨㄛˋ		不错〔不錯〕bù cuòㄅㄨˋ ㄘㄨㄛˋcorrect right not bad pretty good
那样	那樣	nà yàng	ㄋㄚˋ ㄧㄤˋ		那样〔那樣〕nà yàngㄋㄚˋ ㄧㄤˋthat kind that sort
大家	大家	dà jiā	ㄉㄚˋ ㄐㄧㄚ		大家dà jiāㄉㄚˋ ㄐㄧㄚeveryone influential family great expert
向	曏	Xiàng, xiàng	ㄒㄧㄤˋ		向〔曏〕Xiàngㄒㄧㄤˋsurname Xiang向〔曏〕xiàngㄒㄧㄤˋtowards to face to turn towards direction to support to side with shortly before formerly always all along to tend toward to guide variant of 向[xiang4] variant of 向[xiang4] direction orientation to face to turn toward to towards shortly before formerly
以为	以為	yǐ wéi	ㄧˇ ㄨㄟˊ		以为〔以為〕yǐ wéiㄧˇ ㄨㄟˊto believe to think to consider to be under the impression
老	老	lǎo	ㄌㄠˇ		老lǎoㄌㄠˇprefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity old (of people) venerable (person) experienced of long standing always all the time of the past very outdated (of meat etc) tough
位	位	wèi	ㄨㄟˋ		位wèiㄨㄟˋposition location place seat classifier for people (honorific) classifier for binary bits (e.g. 十六位 16-bit or 2 bytes)
过来	過來	guò lái, guò lai	ㄍㄨㄛˋ ㄌㄞˊ, ㄍㄨㄛˋ ㄌㄞ˙		过来〔過來〕guò láiㄍㄨㄛˋ ㄌㄞˊto come over to manage to handle to be able to take care of过来〔過來〕guò laiㄍㄨㄛˋ ㄌㄞ˙see 過來|过来[guo4 lai2]
掉	掉	diào	ㄉㄧㄠˋ		掉diàoㄉㄧㄠˋto fall to drop to lag behind to lose to go missing to reduce fall (in prices) to lose (value, weight etc) to wag to swing to turn to change to exchange to swap to show off to shed (hair) (used after certain verbs to express completion, fulfillment, removal etc)
生活	生活	shēng huó	ㄕㄥ ㄏㄨㄛˊ		生活shēng huóㄕㄥ ㄏㄨㄛˊlife activity to live livelihood
其他	其他	qí tā	ㄑㄧˊ ㄊㄚ		其他qí tāㄑㄧˊ ㄊㄚother (sth or sb) else the rest
或者	或者	huò zhě	ㄏㄨㄛˋ ㄓㄜˇ		或者huò zhěㄏㄨㄛˋ ㄓㄜˇor possibly maybe perhaps
弄	衖	lòng, nòng	ㄌㄨㄥˋ, ㄋㄨㄥˋ		弄〔衖〕lòngㄌㄨㄥˋlane alley variant of 弄[long4]弄〔衖〕nòngㄋㄨㄥˋto do to manage to handle to play with to fool with to mess with to fix to toy with old variant of 弄[nong4]
过去	過去	guò qù, guò qu	ㄍㄨㄛˋ ㄑㄩˋ, ㄍㄨㄛˋ ㄑㄩ˙		过去〔過去〕guò qùㄍㄨㄛˋ ㄑㄩˋ(in the) past former previous to go over to pass by过去〔過去〕guò quㄍㄨㄛˋ ㄑㄩ˙(verb suffix)
算	算	suàn	ㄙㄨㄢˋ		算suànㄙㄨㄢˋto regard as to figure to calculate to compute
成	成	Chéng, chéng	ㄔㄥˊ		成Chéngㄔㄥˊsurname Cheng成chéngㄔㄥˊto succeed to finish to complete to accomplish to become to turn into to be all right OK! one tenth
条	條	tiáo	ㄊㄧㄠˊ		条〔條〕tiáoㄊㄧㄠˊstrip item article clause (of law or treaty) classifier for long thin things (ribbon, river, road, trousers etc)
够	夠	gòu	ㄍㄡˋ		够〔夠〕gòuㄍㄡˋenough (sufficient) enough (too much) (coll.) (before adj.) really (coll.) to reach by stretching out
以前	以前	yǐ qián	ㄧˇ ㄑㄧㄢˊ		以前yǐ qiánㄧˇ ㄑㄧㄢˊbefore formerly previous ago
长	長	cháng, zhǎng	ㄔㄤˊ, ㄓㄤˇ		长〔長〕chángㄔㄤˊlength long forever always constantly长〔長〕zhǎngㄓㄤˇchief head elder to grow to develop to increase to enhance
完全	完全	wán quán	ㄨㄢˊ ㄑㄩㄢˊ		完全wán quánㄨㄢˊ ㄑㄩㄢˊcomplete whole totally entirely
狗	狗	gǒu	ㄍㄡˇ		狗gǒuㄍㄡˇdog CL:隻|只[zhi1],條|条[tiao2]
可是	可是	kě shì	ㄎㄜˇ ㄕˋ		可是kě shìㄎㄜˇ ㄕˋbut however (used for emphasis) indeed
头	頭	tóu, tou	ㄊㄡˊ, ㄊㄡ˙		头〔頭〕tóuㄊㄡˊhead hair style the top end beginning or end a stub remnant chief boss side aspect first leading classifier for pigs or livestock CL:個|个[ge4]头〔頭〕touㄊㄡ˙suffix for nouns
机会	機會	jī huì	ㄐㄧ ㄏㄨㄟˋ		机会〔機會〕jī huìㄐㄧ ㄏㄨㄟˋopportunity chance occasion CL:個|个[ge4]
喂	餵	wéi, wèi	ㄨㄟˊ, ㄨㄟˋ		喂〔餵〕wéiㄨㄟˊhello (when answering the phone)喂〔餵〕wèiㄨㄟˋhey to feed (an animal, baby, invalid etc) variant of 餵|喂[wei4] to feed
好像	好像	hǎo xiàng	ㄏㄠˇ ㄒㄧㄤˋ		好像hǎo xiàngㄏㄠˇ ㄒㄧㄤˋas if to seem like
完	完	wán	ㄨㄢˊ		完wánㄨㄢˊto finish to be over whole complete entire
漂亮	漂亮	piào liang	ㄆㄧㄠˋ ㄌㄧㄤ˙		漂亮piào liangㄆㄧㄠˋ ㄌㄧㄤ˙pretty beautiful
分钟	分鐘	fēn zhōng	ㄈㄣ ㄓㄨㄥ		分钟〔分鐘〕fēn zhōngㄈㄣ ㄓㄨㄥminute
接	接	jiē	ㄐㄧㄝ		"接jiēㄐㄧㄝto receive to answer (the phone) to meet or welcome sb to connect to catch to join to extend to take one's turn on duty to take over for sb"
场	塲	cháng, chǎng	ㄔㄤˊ, ㄔㄤˇ		场〔塲〕chángㄔㄤˊthreshing floor classifier for events and happenings: spell, episode, bout variant of 場|场[chang2]场〔塲〕chǎngㄔㄤˇlarge place used for a specific purpose stage scene (of a play) classifier for sporting or recreational activities classifier for number of exams variant of 場|场[chang3]
求	求	qiú	ㄑㄧㄡˊ		求qiúㄑㄧㄡˊto seek to look for to request to demand to beseech
刚	剛	gāng	ㄍㄤ		刚〔剛〕gāngㄍㄤhard firm strong just barely exactly
变	變	biàn	ㄅㄧㄢˋ		变〔變〕biànㄅㄧㄢˋto change to become different to transform to vary rebellion
见到	見到	jiàn dào	ㄐㄧㄢˋ ㄉㄠˋ		见到〔見到〕jiàn dàoㄐㄧㄢˋ ㄉㄠˋto see
只要	只要	zhǐ yào	ㄓˇ ㄧㄠˋ		只要zhǐ yàoㄓˇ ㄧㄠˋif only so long as
份	份	fèn	ㄈㄣˋ		份fènㄈㄣˋclassifier for gifts, newspaper, magazine, papers, reports, contracts etc variant of 分[fen4]
站	站	zhàn	ㄓㄢˋ		站zhànㄓㄢˋstation to stand to halt to stop branch of a company or organization website
公司	公司	gōng sī	ㄍㄨㄥ ㄙ		公司gōng sīㄍㄨㄥ ㄙ(business) company company firm corporation incorporated CL:家[jia1]
成为	成為	chéng wéi	ㄔㄥˊ ㄨㄟˊ		成为〔成為〕chéng wéiㄔㄥˊ ㄨㄟˊto become to turn into
永远	永遠	yǒng yuǎn	ㄩㄥˇ ㄩㄢˇ		永远〔永遠〕yǒng yuǎnㄩㄥˇ ㄩㄢˇforever eternal
帮助	幫助	bāng zhù	ㄅㄤ ㄓㄨˋ		帮助〔幫助〕bāng zhùㄅㄤ ㄓㄨˋassistance aid to help to assist
名	名	míng	ㄇㄧㄥˊ		名míngㄇㄧㄥˊname noun (part of speech) place (e.g. among winners) famous classifier for people
它们	它們	tā men	ㄊㄚ ㄇㄣ˙		它们〔它們〕tā menㄊㄚ ㄇㄣ˙they (for inanimate objects)
有人	有人	yǒu rén	ㄧㄡˇ ㄖㄣˊ		有人yǒu rénㄧㄡˇ ㄖㄣˊsomeone people anyone there is someone there occupied (as in restroom)
清楚	清楚	qīng chu	ㄑㄧㄥ ㄔㄨ˙		清楚qīng chuㄑㄧㄥ ㄔㄨ˙clear distinct to understand thoroughly to be clear about
安全	安全	ān quán	ㄢ ㄑㄩㄢˊ		安全ān quánㄢ ㄑㄩㄢˊsafe secure safety security
怎样	怎樣	zěn yàng	ㄗㄣˇ ㄧㄤˋ		怎样〔怎樣〕zěn yàngㄗㄣˇ ㄧㄤˋhow why
留	畱	liú	ㄌㄧㄡˊ		留〔畱〕liúㄌㄧㄡˊold variant of 留[liu2] to leave (a message etc) to retain to stay to remain to keep to preserve old variant of 留[liu2]
周	週	Zhōu, zhōu	ㄓㄡ		周〔週〕Zhōuㄓㄡsurname Zhou Zhou Dynasty (1046-256 BC)周〔週〕zhōuㄓㄡto make a circuit to circle circle circumference lap cycle complete all all over thorough to help financially week weekly variant of 周[zhou1]
愿意	願意	yuàn yì	ㄩㄢˋ ㄧˋ		愿意〔願意〕yuàn yìㄩㄢˋ ㄧˋto wish to want ready willing (to do sth)
计划	計劃	jì huà	ㄐㄧˋ ㄏㄨㄚˋ		计划〔計劃〕jì huàㄐㄧˋ ㄏㄨㄚˋplan project program to plan to map out CL:個|个[ge4],項|项[xiang4]
停	停	tíng	ㄊㄧㄥˊ		停tíngㄊㄧㄥˊto stop to halt to park (a car)
花	蘤	Huā, huā	ㄏㄨㄚ		花〔蘤〕Huāㄏㄨㄚsurname Hua花〔蘤〕huāㄏㄨㄚflower blossom CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4] fancy pattern florid to spend (money, time) old variant of 花[hua1] variant of 花[hua1] flower blossom also pr. [wei3]
感谢	感謝	gǎn xiè	ㄍㄢˇ ㄒㄧㄝˋ		感谢〔感謝〕gǎn xièㄍㄢˇ ㄒㄧㄝˋ(express) thanks gratitude grateful thankful thanks
以后	以後	yǐ hòu	ㄧˇ ㄏㄡˋ		以后〔以後〕yǐ hòuㄧˇ ㄏㄡˋafter later afterwards following later on in the future
照片	照片	zhào piàn	ㄓㄠˋ ㄆㄧㄢˋ		照片zhào piànㄓㄠˋ ㄆㄧㄢˋphotograph picture CL:張|张[zhang1],套[tao4],幅[fu2]
欢迎	歡迎	huān yíng	ㄏㄨㄢ ㄧㄥˊ		欢迎〔歡迎〕huān yíngㄏㄨㄢ ㄧㄥˊto welcome welcome
嘴	嘴	zuǐ	ㄗㄨㄟˇ		嘴zuǐㄗㄨㄟˇmouth beak nozzle spout (of teapot etc) CL:張|张[zhang1],個|个[ge4]
队	隊	duì	ㄉㄨㄟˋ		队〔隊〕duìㄉㄨㄟˋsquadron team group CL:個|个[ge4]
拉	拉	lā	ㄌㄚ		拉lāㄌㄚto pull to play (a bowed instrument) to drag to draw to chat
听说	聽說	tīng shuō	ㄊㄧㄥ ㄕㄨㄛ		听说〔聽說〕tīng shuōㄊㄧㄥ ㄕㄨㄛto hear (sth said) one hears (that) hearsay listening and speaking
参加	參加	cān jiā	ㄘㄢ ㄐㄧㄚ		参加〔參加〕cān jiāㄘㄢ ㄐㄧㄚto participate to take part to join
办法	辦法	bàn fǎ	ㄅㄢˋ ㄈㄚˇ		办法〔辦法〕bàn fǎㄅㄢˋ ㄈㄚˇmeans method way (of doing sth) CL:條|条[tiao2],個|个[ge4]
人们	人們	rén men	ㄖㄣˊ ㄇㄣ˙		人们〔人們〕rén menㄖㄣˊ ㄇㄣ˙people
原因	原因	yuán yīn	ㄩㄢˊ ㄧㄣ		原因yuán yīnㄩㄢˊ ㄧㄣcause origin root cause reason CL:個|个[ge4]
全	全	Quán, quán	ㄑㄩㄢˊ		全Quánㄑㄩㄢˊsurname Quan全quánㄑㄩㄢˊall whole entire every complete
挺	挺	tǐng	ㄊㄧㄥˇ		挺tǐngㄊㄧㄥˇstraight erect to stick out (a part of the body) to (physically) straighten up to support to withstand outstanding (coll.) quite very classifier for machine guns
卖	賣	mài	ㄇㄞˋ		卖〔賣〕màiㄇㄞˋto sell to betray to spare no effort to show off or flaunt
信	信	xìn	ㄒㄧㄣˋ		信xìnㄒㄧㄣˋletter mail CL:封[feng1] to trust to believe to profess faith in truthful confidence trust at will at random
接受	接受	jiē shòu	ㄐㄧㄝ ㄕㄡˋ		接受jiē shòuㄐㄧㄝ ㄕㄡˋto accept to receive
改变	改變	gǎi biàn	ㄍㄞˇ ㄅㄧㄢˋ		改变〔改變〕gǎi biànㄍㄞˇ ㄅㄧㄢˋto change to alter to transform
出现	出現	chū xiàn	ㄔㄨ ㄒㄧㄢˋ		出现〔出現〕chū xiànㄔㄨ ㄒㄧㄢˋto appear to arise to emerge to show up
打算	打算	dǎ suàn	ㄉㄚˇ ㄙㄨㄢˋ		打算dǎ suànㄉㄚˇ ㄙㄨㄢˋto plan to intend to calculate plan intention calculation CL:個|个[ge4]
特别	特別	tè bié	ㄊㄜˋ ㄅㄧㄝˊ		特别〔特別〕tè biéㄊㄜˋ ㄅㄧㄝˊespecially special particular unusual
查	查	Zhā, chá, zhā	ㄓㄚ, ㄔㄚˊ		查Zhāㄓㄚsurname Zha查cháㄔㄚˊto research to check to investigate to examine to refer to to look up (e.g. a word in a dictionary)查zhāㄓㄚsee 山查[shan1 zha1]
真正	真正	zhēn zhèng	ㄓㄣ ㄓㄥˋ		真正zhēn zhèngㄓㄣ ㄓㄥˋgenuine real true genuinely
结果	結果	jiē guǒ, jié guǒ	ㄐㄧㄝ ㄍㄨㄛˇ, ㄐㄧㄝˊ ㄍㄨㄛˇ		结果〔結果〕jiē guǒㄐㄧㄝ ㄍㄨㄛˇto bear fruit CL:個|个[ge4]结果〔結果〕jié guǒㄐㄧㄝˊ ㄍㄨㄛˇoutcome result conclusion in the end as a result to kill to dispatch
小心	小心	xiǎo xīn	ㄒㄧㄠˇ ㄒㄧㄣ		小心xiǎo xīnㄒㄧㄠˇ ㄒㄧㄣto be careful to take care
当时	當時	dāng shí, dàng shí	ㄉㄤ ㄕˊ, ㄉㄤˋ ㄕˊ		当时〔當時〕dāng shíㄉㄤ ㄕˊthen at that time while当时〔當時〕dàng shíㄉㄤˋ ㄕˊat once right away
或	或	huò	ㄏㄨㄛˋ		或huòㄏㄨㄛˋmaybe perhaps might possibly or
懂	懂	dǒng	ㄉㄨㄥˇ		懂dǒngㄉㄨㄥˇto understand to comprehend
怎么办	怎麼辦	zěn me bàn	ㄗㄣˇ ㄇㄜ˙ ㄅㄢˋ		"怎么办〔怎麼辦〕zěn me bànㄗㄣˇ ㄇㄜ˙ ㄅㄢˋwhat's to be done"
讲	講	jiǎng	ㄐㄧㄤˇ		讲〔講〕jiǎngㄐㄧㄤˇto speak to explain to negotiate to emphasise to be particular about as far as sth is concerned speech lecture
选	選	xuǎn	ㄒㄩㄢˇ		选〔選〕xuǎnㄒㄩㄢˇto choose to pick to select to elect
感到	感到	gǎn dào	ㄍㄢˇ ㄉㄠˋ		感到gǎn dàoㄍㄢˇ ㄉㄠˋto feel to sense to have the feeling that to think that to move to affect
故事	故事	gù shì, gù shi	ㄍㄨˋ ㄕˋ, ㄍㄨˋ ㄕ˙		故事gù shìㄍㄨˋ ㄕˋold practice CL:個|个[ge4]故事gù shiㄍㄨˋ ㄕ˙narrative story tale
换	換	huàn	ㄏㄨㄢˋ		换〔換〕huànㄏㄨㄢˋto exchange to change (clothes etc) to substitute to switch to convert (currency)
咱们	咱們	zán men	ㄗㄢˊ ㄇㄣ˙		咱们〔咱們〕zán menㄗㄢˊ ㄇㄣ˙we or us (including both the speaker and the person(s) spoken to) (dialect) I or me (dialect) (in a coaxing or familiar way) you also pr. [za2 men5]
进行	進行	jìn xíng	ㄐㄧㄣˋ ㄒㄧㄥˊ		进行〔進行〕jìn xíngㄐㄧㄣˋ ㄒㄧㄥˊto advance to conduct underway in progress to do to carry out to carry on to execute
